Book,Author(s),Original language,First published,Approximate sales,Genre
A Tale of Two Cities,Charles Dickens,English,1859,200 million[19][circular reporting?],Historical fiction
The Little Prince,Antoine de Saint-Exupéry,French,1943,200 million[20][21],Novella
Harry Potter and the Philosopher's Stone,J. K. Rowling,English,1997,120 million[22][23],Fantasy
And Then There Were None,Agatha Christie,English,1939,100 million[24],Mystery
Dream of the Red Chamber,Cao Xueqin,Chinese,1791,100 million[25][26],Family saga
The Hobbit,J. R. R. Tolkien,English,1937,100 million[27][28][29],Fantasy
"The Lion, the Witch and the Wardrobe",C. S. Lewis,English,1950,85 million[30],"Fantasy, Children's fiction"
She: A History of Adventure,H. Rider Haggard,English,1887,83 million[31],Adventure
Vardi Wala Gunda,Ved Prakash Sharma,Hindi,1992,>80 million[32][better source needed],detective
The Da Vinci Code,Dan Brown,English,2003,80 million[33],Mystery thriller
Harry Potter and the Chamber of Secrets,J. K. Rowling,English,1998,77 million[34],Fantasy
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,English,1999,65 million[35],Fantasy
Harry Potter and the Goblet of Fire,J. K. Rowling,English,2000,65 million[35],Fantasy
Harry Potter and the Order of the Phoenix,J. K. Rowling,English,2003,65 million[35],Fantasy
Harry Potter and the Half-Blood Prince,J. K. Rowling,English,2005,65 million[35],Fantasy
Harry Potter and the Deathly Hallows,J. K. Rowling,English,2007,65 million[35],Fantasy
The Alchemist (O Alquimista),Paulo Coelho,Portuguese,1988,65 million[36][37][obsolete source],Fantasy
The Catcher in the Rye,J. D. Salinger,English,1951,65 million[38],Coming-of-age
The Bridges of Madison County,Robert James Waller,English,1992,60 million[39],Romance
Ben-Hur: A Tale of the Christ,Lew Wallace,English,1880,50 million[40],Historical fiction
You Can Heal Your Life,Louise Hay,English,1984,50 million[41],Self-help
One Hundred Years of Solitude (Cien años de soledad),Gabriel García Márquez,Spanish,1967,50 million[42][43][44],Magic realism
Lolita,Vladimir Nabokov,English,1955,50 million[45],Novel
Heidi,Johanna Spyri,German,1880,50 million[46],Children's fiction
The Common Sense Book of Baby and Child Care,Benjamin Spock,English,1946,50 million[47],Manual
Anne of Green Gables,Lucy Maud Montgomery,English,1908,50 million[48],Children's novel
Black Beauty,Anna Sewell,English,1877,50 million[49],Children's literature
The Name of the Rose (Il Nome della Rosa),Umberto Eco,Italian,1980,50 million[50],"Historical novel, mystery"
The Eagle Has Landed,Jack Higgins,English,1975,50 million[51],"War, thriller"
Watership Down,Richard Adams,English,1972,50 million[52],Fantasy
The Hite Report,Shere Hite,English,1976,50 million[53],Sexology
Charlotte's Web,E. B. White; illustrated by Garth Williams,English,1952,50 million[54],Children's fiction
The Ginger Man,J. P. Donleavy,English,1955,50 million[55],Novel
The Tale of Peter Rabbit,Beatrix Potter,English,1902,45 million[56],Children's Literature
Jonathan Livingston Seagull,Richard Bach,English,1970,44 million[57],"Novella, Self-help"
The Very Hungry Caterpillar,Eric Carle,English,1969,43 million[58],"Children's Literature, picture book"
A Message to Garcia,Elbert Hubbard,English,1899,40 million[47],Essay/Literature
To Kill a Mockingbird,Harper Lee,English,1960,40 million[59],"Southern Gothic, Bildungsroman"
Flowers in the Attic,V. C. Andrews,English,1979,40 million[60],"Gothic horror, Family saga"
Cosmos,Carl Sagan,English,1980,40 million[61],"Popular science, Anthropology, Astrophysics, Cosmology, Philosophy, History"
Sophie's World (Sofies verden),Jostein Gaarder,Norwegian,1991,40 million[62],"Philosophical novel, Young adult"
Angels & Demons,Dan Brown,English,2000,39 million[63],Mystery-thriller
Kane and Abel,Jeffrey Archer,English,1979,37 million[64],Novel
How the Steel Was Tempered (Как закалялась сталь),Nikolai Ostrovsky,Russian,1932,36.4 million copies in USSR[65],Socialist realist novel
War and Peace (Война и мир),Leo Tolstoy,Russian,1869,36 million copies in Russia[65],Historical novel
The Adventures of Pinocchio (Le avventure di Pinocchio),Carlo Collodi,Italian,1881,35 million[66][67][better source needed],"Fantasy, Children's fiction"
The Diary of Anne Frank (Het Achterhuis),Anne Frank,Dutch,1947,35 million[68],"Historical non-fiction, Autobiography, Memoir, Bildungsroman / Coming of Age, Jewish literature"
Your Erroneous Zones,Wayne Dyer,English,1976,35 million[69][70],Self-help
The Thorn Birds,Colleen McCullough,English,1977,33 million[71],Romantic family saga
The Purpose Driven Life,Rick Warren,English,2002,33 million[72],Christian literature
The Kite Runner,Khaled Hosseini,English,2003,31.5 million[73],"Bildungsroman, Historical fiction"
Valley of the Dolls,Jacqueline Susann,English,1966,31 million[74],Novel
Alcoholics Anonymous Big Book,Bill Wilson,English,1939,30 million[75][76],Self-help
How to Win Friends and Influence People,Dale Carnegie,English,1936,Over 30 million[77][78],Self-help
The Great Gatsby,F. Scott Fitzgerald,English,1925,"30 million (""around"")[79]","Novel, tragedy"
Gone with the Wind,Margaret Mitchell,English,1936,30 million (est.)[80],Historical fiction
Rebecca,Daphne du Maurier,English,1938,30 million (est.)[81],Gothic novel
Nineteen Eighty-Four,George Orwell,English,1949,30 million[82],"Dystopian, political fiction, social science fiction"
The Revolt of Mamie Stover,William Bradford Huie,English,1951,30 million[83],Fiction
The Girl with the Dragon Tattoo (Män som hatar kvinnor),Stieg Larsson,Swedish,2005,30 million[84],Fiction
The Lost Symbol,Dan Brown,English,2009,30 million[85],Fiction
The Hunger Games,Suzanne Collins,English,2008,29 million in US[86],Young adult fiction
James and the Giant Peach,Roald Dahl,English,1961,28 million[87],Children's novel
The Young Guard (Молодая гвардия),Alexander Alexandrovich Fadeyev,Russian,1945,26 million copies in USSR[65],Young adult historical novel
Who Moved My Cheese?,Spencer Johnson,English,1998,28[88] – 30[89] million,"Self-help, motivational, business fable, psychology, leadership, parable"
A Brief History of Time,Stephen Hawking,English,1988,25 million[90],Popular science
Paul et Virginie,Jacques-Henri Bernardin de Saint-Pierre,French,1788,25 million[91],Novel
Lust for Life,Irving Stone,English,1934,25 million[92],Biographical novel
The Wind in the Willows,Kenneth Grahame,English,1908,25 million[93],Children's literature
The 7 Habits of Highly Effective People,Stephen R. Covey,English,1989,25 million[94],Self-help
Virgin Soil Upturned (Поднятая целина),Mikhail Sholokhov,Russian,1935,24 million copies in USSR[65],Novel
The Celestine Prophecy,James Redfield,English,1993,23 million[95],New-age spiritual novel
The Fault in Our Stars,John Green,English,2012,23 million[96],Young adult romantic novel
The Girl on the Train,Paula Hawkins,English,2015,23 million[97],Thriller
The Shack,William P. Young,English,2007,22.5 million[98],Novel
Uncle Styopa (Дядя Стёпа),Sergey Mikhalkov,Russian,1936,21 million copies in USSR[65],"Children's Literature, picture book"
The Godfather,Mario Puzo,English,1969,21 million[99],Crime novel
Love Story,Erich Segal,English,1970,21 million[100],Romance novel
Catching Fire,Suzanne Collins,English,2009,21 million in US[86],"Young Adult novel, adventure, dystopian, science fiction"
Mockingjay,Suzanne Collins,English,2010,20 million in US[86],"Young Adult novel, adventure, war, science fiction, action thriller"
Kitchen,Banana Yoshimoto,Japanese,1988,20 million[101],Japanese novel
Andromeda Nebula,Ivan Yefremov,Russian,1957,20 million[102],Science fiction novel
Autobiography of a Yogi,Paramahansa Yogananda,Hindi,1946,20 million[103],Autobiography
Gone Girl,Gillian Flynn,English,2012,20 million[104],Crime thriller novel
All Quiet on the Western Front (Im Westen nichts Neues),Erich Maria Remarque,German,1929,20 million[105],War novel
The Bermuda Triangle,Charles Berlitz,English,1974,20 million[106],Unknown
Things Fall Apart,Chinua Achebe,English,1958,20 million[107],Novel
Animal Farm,George Orwell,English,1945,20 million[108],"Satirical allegorical novella, Political satire, Dystopian Fiction, Roman à clef"
Wolf Totem (狼图腾),Jiang Rong,Chinese,2004,20 million[109],Semi-autobiographical novel
The Happy Hooker: My Own Story,Xaviera Hollander,English,1971,20 million[110],Memoir
Jaws,Peter Benchley,English,1974,20 million[111],Thriller
Love You Forever,Robert Munsch,English,1986,20 million[112],"Children's literature, picture book, fiction"
The Women's Room,Marilyn French,English,1977,20 million[113],Feminist novel
What to Expect When You're Expecting,Arlene Eisenberg and Heidi Murkoff,English,1984,20 million[114],Pregnancy guide
Adventures of Huckleberry Finn,Mark Twain,English,1885,20 million[115],"Picaresque novel, Bildungsroman, satire, Robinsonade"
"The Secret Diary of Adrian Mole, Aged 13¾",Sue Townsend,English,1982,20 million[116],Young adult novel
Pride and Prejudice,Jane Austen,English,1813,20 million[117][118],"Classic regency novel, romance"
Kon-Tiki: Across the Pacific in a Raft (Kon-Tiki ekspedisjonen),Thor Heyerdahl,Norwegian,1950,20 million[119],Travel literature
The Good Soldier Švejk (Osudy dobrého vojáka Švejka za světové války),Jaroslav Hašek,Czech,1923,20 million (printed)[120],Unfinished satirical dark comedy novel
Where the Wild Things Are,Maurice Sendak,English,1963,20 million[121],Children's picture book
The Power of Positive Thinking,Norman Vincent Peale,English,1952,20 million[122],Self-help
The Secret,Rhonda Byrne,English,2006,20 million[123],Self-help
Fear of Flying,Erica Jong,English,1973,20 million[124],Romantic novel
Dune,Frank Herbert,English,1965,20 million[125],Science fiction novel
Charlie and the Chocolate Factory,Roald Dahl,English,1964,20 million[126],Children's fantasy novel
The Naked Ape,Desmond Morris,English,1968,20 million[127],"Social Science, Anthropology, Psychology"
"Totto-chan, the Little Girl at the Window (窓ぎわのトットちゃん)",Tetsuko Kuroyanagi,Japanese,1981,18 million (in Japan and China)[128],Unknown
Matilda,Roald Dahl,English,1988,17 million[129],Children's Literature
The Book Thief,Markus Zusak,English,2005,16 million[130],Young Adult Fiction
The Horse Whisperer,Nicholas Evans,English,1995,16 million[131],Unknown
Goodnight Moon,Margaret Wise Brown,English,1947,16 million[132],Children's Literature
The Neverending Story (Die unendliche Geschichte),Michael Ende,German,1979,16 million[133],Children's Literature
All the Light We Cannot See,Anthony Doerr,English,2014,15.3 million[134],"Historical fiction, war novel"
Fifty Shades of Grey,E. L. James,English,2011,15.2 million in the U.S.[135],Erotica
Where the Crawdads Sing,Delia Owens,English,2018,15 million[136],Unknown
The Outsiders,S. E. Hinton,English,1967,15 million[137],Unknown
Guess How Much I Love You,Sam McBratney,English,1994,15 million[138],Unknown
Shōgun,James Clavell,English,1975,15 million[139],Unknown
The Poky Little Puppy,Janette Sebring Lowrey,English,1942,15 million[140],Unknown
The Pillars of the Earth,Ken Follett,English,1989,15 million[141],Historical literature
Perfume (Das Parfum),Patrick Süskind,German,1985,15 million[142],Unknown
The Grapes of Wrath,John Steinbeck,English,1939,15 million[143],Unknown
The Shadow of the Wind (La sombra del viento),Carlos Ruiz Zafón,Spanish,2001,15 million[144],Unknown
Interpreter of Maladies,Jhumpa Lahiri,English,2000,15 million[145],Unknown
Becoming,Michelle Obama,English,2018,14 million[146],Unknown
The Hitchhiker's Guide to the Galaxy,Douglas Adams,English,1979,14 million[147],Science fiction
Tuesdays with Morrie,Mitch Albom,English,1997,14 million[148],Unknown
God's Little Acre,Erskine Caldwell,English,1933,14 million[149],Unknown
Follow Your Heart (Va' dove ti porta il cuore),Susanna Tamaro,Italian,1994,14 million[150],Unknown
A Wrinkle in Time,Madeleine L'Engle,English,1962,14 million[151],Unknown
Long Walk to Freedom,Nelson Mandela,English,1994,14 million[152],Unknown
The Old Man and the Sea,Ernest Hemingway,English,1952,13 million[65],Unknown
Life After Life,Raymond Moody,English,1975,13 million[153],Unknown
Me Before You,Jojo Moyes,English,2012,12 million[154],Unknown
Norwegian Wood (ノルウェイの森),Haruki Murakami,Japanese,1987,12 million[155],Unknown
Peyton Place,Grace Metalious,English,1956,12.1 million[156],Unknown
The Plague (La Peste),Albert Camus,French,1947,12 million[157],Unknown
